Customer Number,Customer Identifier,Customer Details,Market Segment Code,Phone Number,Account Balance,Market Segment,Comment
83,Customer#000000083,Details for Customer 83,10,85-229-221-3969,860.77,FURNITURE,Excellent customer service experience 83
84,Customer#000000084,Details for Customer 84,12,40-517-336-2111,535.1,FURNITURE,Excellent customer service experience 84
85,Customer#000000085,Details for Customer 85,11,30-917-420-7050,1091.34,AUTOMOBILE,Excellent customer service experience 85
86,Customer#000000086,Details for Customer 86,14,40-970-568-5261,1655.05,BUILDING,Excellent customer service experience 86
87,Customer#000000087,Details for Customer 87,16,32-673-398-7059,1059.12,ELECTRONICS,Excellent customer service experience 87
88,Customer#000000088,Details for Customer 88,13,17-805-220-9621,1265.55,AUTOMOBILE,Excellent customer service experience 88
89,Customer#000000089,Details for Customer 89,18,40-752-553-7293,1112.85,AUTOMOBILE,Excellent customer service experience 89
90,Customer#000000090,Details for Customer 90,17,79-116-655-1535,787.78,BUILDING,Excellent customer service experience 90
91,Customer#000000091,Details for Customer 91,15,50-521-467-2968,1777.99,FURNITURE,Excellent customer service experience 91
92,Customer#000000092,Details for Customer 92,19,49-716-906-8162,1923.63,ELECTRONICS,Excellent customer service experience 92
93,Customer#000000093,Details for Customer 93,10,58-996-237-9956,1685.92,ELECTRONICS,Excellent customer service experience 93
94,Customer#000000094,Details for Customer 94,12,25-536-848-2692,1075.45,BUILDING,Excellent customer service experience 94
95,Customer#000000095,Details for Customer 95,11,45-632-362-2241,1752.79,AUTOMOBILE,Excellent customer service experience 95
96,Customer#000000096,Details for Customer 96,10,90-338-497-1111,1778.6,FURNITURE,Excellent customer service experience 96
97,Customer#000000097,Details for Customer 97,15,75-701-659-7486,822.74,ELECTRONICS,Excellent customer service experience 97
98,Customer#000000098,Details for Customer 98,19,52-250-935-4357,907.87,ELECTRONICS,Excellent customer service experience 98
99,Customer#000000099,Details for Customer 99,17,78-568-465-2708,1001.97,BUILDING,Excellent customer service experience 99
100,Customer#000000100,Details for Customer 100,13,89-872-152-2344,1586.59,BUILDING,Excellent customer service experience 100
101,Customer#000000101,Details for Customer 101,14,27-757-523-6394,875.21,ELECTRONICS,Excellent customer service experience 101
102,Customer#000000102,Details for Customer 102,14,15-966-999-7775,1161.27,BUILDING,Excellent customer service experience 102
103,Customer#000000103,Details for Customer 103,17,45-381-440-4677,545.14,BUILDING,Excellent customer service experience 103
104,Customer#000000104,Details for Customer 104,11,75-656-842-9452,1176.1,FURNITURE,Excellent customer service experience 104
105,Customer#000000105,Details for Customer 105,17,80-757-321-3493,738.17,ELECTRONICS,Excellent customer service experience 105
106,Customer#000000106,Details for Customer 106,17,66-997-372-4434,714.4,FURNITURE,Excellent customer service experience 106
107,Customer#000000107,Details for Customer 107,18,59-124-937-7009,892.72,FURNITURE,Excellent customer service experience 107
108,Customer#000000108,Details for Customer 108,19,31-620-812-2632,1616.81,ELECTRONICS,Excellent customer service experience 108
109,Customer#000000109,Details for Customer 109,15,10-911-471-1262,1143.04,FURNITURE,Excellent customer service experience 109
110,Customer#000000110,Details for Customer 110,16,24-265-448-8632,1507.17,FURNITURE,Excellent customer service experience 110
111,Customer#000000111,Details for Customer 111,11,63-129-961-1741,1867.82,FURNITURE,Excellent customer service experience 111
112,Customer#000000112,Details for Customer 112,10,13-174-397-9288,1427.24,AUTOMOBILE,Excellent customer service experience 112
113,Customer#000000113,Details for Customer 113,10,42-256-370-3914,1324.7,AUTOMOBILE,Excellent customer service experience 113
114,Customer#000000114,Details for Customer 114,10,72-929-457-2859,1294.24,FURNITURE,Excellent customer service experience 114
115,Customer#000000115,Details for Customer 115,12,23-437-417-4362,1420.5,FURNITURE,Excellent customer service experience 115
116,Customer#000000116,Details for Customer 116,13,93-598-552-7731,1837.61,ELECTRONICS,Excellent customer service experience 116
117,Customer#000000117,Details for Customer 117,11,31-231-213-7355,1639.39,FURNITURE,Excellent customer service experience 117
118,Customer#000000118,Details for Customer 118,16,82-589-562-1106,1533.63,AUTOMOBILE,Excellent customer service experience 118
119,Customer#000000119,Details for Customer 119,14,97-565-324-5619,868.51,ELECTRONICS,Excellent customer service experience 119
120,Customer#000000120,Details for Customer 120,10,76-852-890-7340,1150.3,ELECTRONICS,Excellent customer service experience 120
121,Customer#000000121,Details for Customer 121,18,51-910-287-8505,1127.73,FURNITURE,Excellent customer service experience 121
122,Customer#000000122,Details for Customer 122,18,87-707-967-9049,1979.67,FURNITURE,Excellent customer service experience 122
123,Customer#000000123,Details for Customer 123,16,13-606-765-5403,517.51,AUTOMOBILE,Excellent customer service experience 123
124,Customer#000000124,Details for Customer 124,14,38-438-208-1919,1724.2,FURNITURE,Excellent customer service experience 124
125,Customer#000000125,Details for Customer 125,15,20-945-625-7099,1309.54,BUILDING,Excellent customer service experience 125
126,Customer#000000126,Details for Customer 126,15,75-103-240-8176,1887.69,AUTOMOBILE,Excellent customer service experience 126
127,Customer#000000127,Details for Customer 127,17,20-993-874-2439,1462.03,AUTOMOBILE,Excellent customer service experience 127
128,Customer#000000128,Details for Customer 128,17,53-761-369-8495,906.75,AUTOMOBILE,Excellent customer service experience 128
129,Customer#000000129,Details for Customer 129,19,55-640-438-5506,637.41,AUTOMOBILE,Excellent customer service experience 129
130,Customer#000000130,Details for Customer 130,13,60-627-933-7937,1453.08,AUTOMOBILE,Excellent customer service experience 130
131,Customer#000000131,Details for Customer 131,15,28-651-788-6014,1729.16,AUTOMOBILE,Excellent customer service experience 131
132,Customer#000000132,Details for Customer 132,15,37-559-144-3726,548.21,AUTOMOBILE,Excellent customer service experience 132
133,Customer#000000133,Details for Customer 133,14,10-749-634-6757,894.95,AUTOMOBILE,Excellent customer service experience 133
134,Customer#000000134,Details for Customer 134,19,33-938-954-4905,1461.48,AUTOMOBILE,Excellent customer service experience 134
135,Customer#000000135,Details for Customer 135,10,65-283-771-7035,1852.36,ELECTRONICS,Excellent customer service experience 135
136,Customer#000000136,Details for Customer 136,19,71-381-939-8691,1104.94,ELECTRONICS,Excellent customer service experience 136
137,Customer#000000137,Details for Customer 137,15,67-667-885-6224,680.81,ELECTRONICS,Excellent customer service experience 137
138,Customer#000000138,Details for Customer 138,16,10-879-648-5360,1472.7,FURNITURE,Excellent customer service experience 138
139,Customer#000000139,Details for Customer 139,17,73-494-829-6865,745.59,ELECTRONICS,Excellent customer service experience 139
140,Customer#000000140,Details for Customer 140,10,19-730-184-9635,1852.4,BUILDING,Excellent customer service experience 140
141,Customer#000000141,Details for Customer 141,18,49-820-566-8383,1824.9,BUILDING,Excellent customer service experience 141
142,Customer#000000142,Details for Customer 142,10,62-455-223-1560,610.34,BUILDING,Excellent customer service experience 142
143,Customer#000000143,Details for Customer 143,17,40-103-110-7432,1630.93,FURNITURE,Excellent customer service experience 143
144,Customer#000000144,Details for Customer 144,18,31-990-210-5321,1008.54,BUILDING,Excellent customer service experience 144
145,Customer#000000145,Details for Customer 145,18,61-304-291-9756,504.41,ELECTRONICS,Excellent customer service experience 145
146,Customer#000000146,Details for Customer 146,19,76-957-590-6811,1288.09,ELECTRONICS,Excellent customer service experience 146
147,Customer#000000147,Details for Customer 147,14,51-885-927-1013,1687.91,AUTOMOBILE,Excellent customer service experience 147
148,Customer#000000148,Details for Customer 148,10,32-344-444-7558,841.14,FURNITURE,Excellent customer service experience 148
149,Customer#000000149,Details for Customer 149,13,20-743-259-8200,1274.51,FURNITURE,Excellent customer service experience 149
150,Customer#000000150,Details for Customer 150,16,23-277-651-6870,544.68,AUTOMOBILE,Excellent customer service experience 150
151,Customer#000000151,Details for Customer 151,18,34-440-655-1730,804.64,ELECTRONICS,Excellent customer service experience 151
152,Customer#000000152,Details for Customer 152,13,97-190-557-6545,890.3,FURNITURE,Excellent customer service experience 152
153,Customer#000000153,Details for Customer 153,14,41-652-323-2288,658.33,AUTOMOBILE,Excellent customer service experience 153
154,Customer#000000154,Details for Customer 154,14,59-776-437-8553,1764.96,AUTOMOBILE,Excellent customer service experience 154
155,Customer#000000155,Details for Customer 155,14,68-385-345-2232,1358.38,FURNITURE,Excellent customer service experience 155
156,Customer#000000156,Details for Customer 156,11,94-748-731-3340,1690.92,FURNITURE,Excellent customer service experience 156
157,Customer#000000157,Details for Customer 157,13,69-335-208-4737,827.95,AUTOMOBILE,Excellent customer service experience 157
158,Customer#000000158,Details for Customer 158,18,90-918-402-9322,923.1,BUILDING,Excellent customer service experience 158
159,Customer#000000159,Details for Customer 159,18,43-576-702-8849,1575.5,AUTOMOBILE,Excellent customer service experience 159
160,Customer#000000160,Details for Customer 160,13,11-510-556-1411,895.16,AUTOMOBILE,Excellent customer service experience 160
161,Customer#000000161,Details for Customer 161,12,32-829-316-9556,1570.88,AUTOMOBILE,Excellent customer service experience 161
162,Customer#000000162,Details for Customer 162,11,94-345-642-8415,1605.14,FURNITURE,Excellent customer service experience 162
163,Customer#000000163,Details for Customer 163,14,66-320-854-9129,640.2,BUILDING,Excellent customer service experience 163
164,Customer#000000164,Details for Customer 164,17,79-272-441-2649,1612.49,FURNITURE,Excellent customer service experience 164
165,Customer#000000165,Details for Customer 165,16,34-236-860-9684,544.37,ELECTRONICS,Excellent customer service experience 165
166,Customer#000000166,Details for Customer 166,18,40-388-441-4957,1666.5,BUILDING,Excellent customer service experience 166
167,Customer#000000167,Details for Customer 167,10,94-437-226-4217,634.91,BUILDING,Excellent customer service experience 167
168,Customer#000000168,Details for Customer 168,11,85-502-989-5922,569.82,ELECTRONICS,Excellent customer service experience 168
169,Customer#000000169,Details for Customer 169,11,95-593-399-8522,1300.99,FURNITURE,Excellent customer service experience 169
170,Customer#000000170,Details for Customer 170,13,83-255-663-6796,1220.79,BUILDING,Excellent customer service experience 170
171,Customer#000000171,Details for Customer 171,17,58-325-495-5513,1652.02,FURNITURE,Excellent customer service experience 171
172,Customer#000000172,Details for Customer 172,18,57-242-466-3719,847.54,BUILDING,Excellent customer service experience 172
173,Customer#000000173,Details for Customer 173,14,97-931-783-4605,1893.31,AUTOMOBILE,Excellent customer service experience 173
174,Customer#000000174,Details for Customer 174,16,12-766-328-3542,1729.57,FURNITURE,Excellent customer service experience 174
175,Customer#000000175,Details for Customer 175,12,19-485-935-8425,1111.2,ELECTRONICS,Excellent customer service experience 175
176,Customer#000000176,Details for Customer 176,16,40-646-110-2273,1934.62,AUTOMOBILE,Excellent customer service experience 176
177,Customer#000000177,Details for Customer 177,19,16-617-398-9390,897.16,AUTOMOBILE,Excellent customer service experience 177
178,Customer#000000178,Details for Customer 178,10,48-617-416-3718,877.29,FURNITURE,Excellent customer service experience 178
179,Customer#000000179,Details for Customer 179,10,69-108-291-8377,934.61,ELECTRONICS,Excellent customer service experience 179
180,Customer#000000180,Details for Customer 180,12,96-231-883-3548,1429.83,FURNITURE,Excellent customer service experience 180
181,Customer#000000181,Details for Customer 181,19,16-705-122-3058,792.42,FURNITURE,Excellent customer service experience 181
182,Customer#000000182,Details for Customer 182,19,38-447-596-6203,1825.02,ELECTRONICS,Excellent customer service experience 182
183,Customer#000000183,Details for Customer 183,10,12-471-427-5275,1409.43,FURNITURE,Excellent customer service experience 183
184,Customer#000000184,Details for Customer 184,15,29-343-706-5222,1920.91,FURNITURE,Excellent customer service experience 184
185,Customer#000000185,Details for Customer 185,10,37-883-147-1954,1841.68,ELECTRONICS,Excellent customer service experience 185
186,Customer#000000186,Details for Customer 186,14,93-236-753-6414,1243.66,FURNITURE,Excellent customer service experience 186
187,Customer#000000187,Details for Customer 187,17,48-358-910-5902,976.75,BUILDING,Excellent customer service experience 187
188,Customer#000000188,Details for Customer 188,17,79-671-537-2390,1847.75,FURNITURE,Excellent customer service experience 188
189,Customer#000000189,Details for Customer 189,11,43-188-720-4797,1946.2,FURNITURE,Excellent customer service experience 189
190,Customer#000000190,Details for Customer 190,18,54-754-342-3129,1797.49,BUILDING,Excellent customer service experience 190
191,Customer#000000191,Details for Customer 191,16,89-765-264-6516,1600.14,AUTOMOBILE,Excellent customer service experience 191
192,Customer#000000192,Details for Customer 192,15,48-287-577-9019,1081.19,ELECTRONICS,Excellent customer service experience 192
193,Customer#000000193,Details for Customer 193,11,41-968-333-2867,1374.43,FURNITURE,Excellent customer service experience 193
194,Customer#000000194,Details for Customer 194,15,17-169-433-4554,1903.31,AUTOMOBILE,Excellent customer service experience 194
195,Customer#000000195,Details for Customer 195,14,56-644-132-9204,1500.86,BUILDING,Excellent customer service experience 195
196,Customer#000000196,Details for Customer 196,12,84-155-941-3353,943.86,AUTOMOBILE,Excellent customer service experience 196
197,Customer#000000197,Details for Customer 197,16,29-314-507-6052,1298.03,ELECTRONICS,Excellent customer service experience 197
198,Customer#000000198,Details for Customer 198,11,62-881-598-5282,1954.4,ELECTRONICS,Excellent customer service experience 198
199,Customer#000000199,Details for Customer 199,11,26-886-997-1078,920.2,AUTOMOBILE,Excellent customer service experience 199
200,Customer#000000200,Details for Customer 200,17,83-874-855-8023,1650.6,FURNITURE,Excellent customer service experience 200
201,Customer#000000201,Details for Customer 201,19,77-170-986-4805,1763.34,AUTOMOBILE,Excellent customer service experience 201
202,Customer#000000202,Details for Customer 202,15,95-279-942-5955,1294.03,ELECTRONICS,Excellent customer service experience 202
203,Customer#000000203,Details for Customer 203,14,36-638-845-8995,531.79,BUILDING,Excellent customer service experience 203
204,Customer#000000204,Details for Customer 204,11,39-788-448-4389,1922.06,ELECTRONICS,Excellent customer service experience 204
205,Customer#000000205,Details for Customer 205,15,70-978-605-5187,1517.67,AUTOMOBILE,Excellent customer service experience 205
206,Customer#000000206,Details for Customer 206,17,50-260-785-1113,1694.76,FURNITURE,Excellent customer service experience 206
207,Customer#000000207,Details for Customer 207,18,24-936-445-6546,1661.12,FURNITURE,Excellent customer service experience 207
208,Customer#000000208,Details for Customer 208,12,73-920-497-9312,1558.58,AUTOMOBILE,Excellent customer service experience 208
209,Customer#000000209,Details for Customer 209,14,60-981-571-8125,1257.08,BUILDING,Excellent customer service experience 209
210,Customer#000000210,Details for Customer 210,19,93-956-477-5695,581.58,FURNITURE,Excellent customer service experience 210
211,Customer#000000211,Details for Customer 211,17,55-162-366-7750,1964.06,BUILDING,Excellent customer service experience 211
212,Customer#000000212,Details for Customer 212,12,95-972-154-7661,1442.86,FURNITURE,Excellent customer service experience 212
213,Customer#000000213,Details for Customer 213,18,65-835-147-9603,1625.92,AUTOMOBILE,Excellent customer service experience 213
214,Customer#000000214,Details for Customer 214,12,99-517-831-9080,873.36,BUILDING,Excellent customer service experience 214
215,Customer#000000215,Details for Customer 215,11,26-435-834-8586,599.33,FURNITURE,Excellent customer service experience 215
216,Customer#000000216,Details for Customer 216,18,69-169-172-2680,768.83,ELECTRONICS,Excellent customer service experience 216
217,Customer#000000217,Details for Customer 217,17,61-587-704-9192,1058.69,BUILDING,Excellent customer service experience 217
218,Customer#000000218,Details for Customer 218,11,93-635-608-5852,538.53,BUILDING,Excellent customer service experience 218
219,Customer#000000219,Details for Customer 219,13,48-780-838-6713,1067.17,BUILDING,Excellent customer service experience 219
220,Customer#000000220,Details for Customer 220,15,25-174-374-2307,609.28,ELECTRONICS,Excellent customer service experience 220
221,Customer#000000221,Details for Customer 221,18,61-992-526-2510,1451.95,AUTOMOBILE,Excellent customer service experience 221
222,Customer#000000222,Details for Customer 222,11,88-915-437-9444,969.59,AUTOMOBILE,Excellent customer service experience 222
223,Customer#000000223,Details for Customer 223,13,51-336-999-4189,1518.92,ELECTRONICS,Excellent customer service experience 223
224,Customer#000000224,Details for Customer 224,19,35-316-976-4287,1390.19,AUTOMOBILE,Excellent customer service experience 224
225,Customer#000000225,Details for Customer 225,11,89-121-160-8197,900.09,BUILDING,Excellent customer service experience 225
226,Customer#000000226,Details for Customer 226,12,32-124-167-5646,1091.61,AUTOMOBILE,Excellent customer service experience 226
227,Customer#000000227,Details for Customer 227,17,74-435-592-9334,1558.24,FURNITURE,Excellent customer service experience 227
228,Customer#000000228,Details for Customer 228,15,79-181-798-5457,1407.01,AUTOMOBILE,Excellent customer service experience 228
229,Customer#000000229,Details for Customer 229,18,77-340-311-1363,777.94,BUILDING,Excellent customer service experience 229
230,Customer#000000230,Details for Customer 230,15,59-725-485-5616,1396.21,FURNITURE,Excellent customer service experience 230
231,Customer#000000231,Details for Customer 231,13,41-736-370-5302,1160.73,FURNITURE,Excellent customer service experience 231
232,Customer#000000232,Details for Customer 232,12,30-246-851-2000,1805.7,FURNITURE,Excellent customer service experience 232
233,Customer#000000233,Details for Customer 233,15,41-293-830-7552,513.77,ELECTRONICS,Excellent customer service experience 233
234,Customer#000000234,Details for Customer 234,14,48-141-835-5427,1812.77,BUILDING,Excellent customer service experience 234
235,Customer#000000235,Details for Customer 235,18,57-533-853-7002,1555.67,BUILDING,Excellent customer service experience 235
236,Customer#000000236,Details for Customer 236,11,39-918-221-5650,1170.27,BUILDING,Excellent customer service experience 236
237,Customer#000000237,Details for Customer 237,10,36-303-797-9564,1594.61,AUTOMOBILE,Excellent customer service experience 237
238,Customer#000000238,Details for Customer 238,18,17-539-312-9593,716.43,BUILDING,Excellent customer service experience 238
239,Customer#000000239,Details for Customer 239,18,84-810-668-3460,1283.37,ELECTRONICS,Excellent customer service experience 239
240,Customer#000000240,Details for Customer 240,14,26-161-936-3245,1645.65,FURNITURE,Excellent customer service experience 240
241,Customer#000000241,Details for Customer 241,10,98-784-410-8790,1868.82,BUILDING,Excellent customer service experience 241
242,Customer#000000242,Details for Customer 242,14,86-539-549-9943,1572.12,FURNITURE,Excellent customer service experience 242
243,Customer#000000243,Details for Customer 243,12,22-509-676-7469,958.96,BUILDING,Excellent customer service experience 243
244,Customer#000000244,Details for Customer 244,17,86-780-512-9692,1578.37,FURNITURE,Excellent customer service experience 244
245,Customer#000000245,Details for Customer 245,14,38-111-705-6504,1663.68,FURNITURE,Excellent customer service experience 245
246,Customer#000000246,Details for Customer 246,14,60-862-511-7223,1145.04,ELECTRONICS,Excellent customer service experience 246
247,Customer#000000247,Details for Customer 247,15,62-372-446-4609,1390.3,FURNITURE,Excellent customer service experience 247
248,Customer#000000248,Details for Customer 248,16,33-416-503-7630,509.67,FURNITURE,Excellent customer service experience 248
249,Customer#000000249,Details for Customer 249,13,75-207-546-1324,902.53,AUTOMOBILE,Excellent customer service experience 249
250,Customer#000000250,Details for Customer 250,17,25-121-375-8836,1787.14,AUTOMOBILE,Excellent customer service experience 250
251,Customer#000000251,Details for Customer 251,10,20-124-253-6301,1574.72,AUTOMOBILE,Excellent customer service experience 251
252,Customer#000000252,Details for Customer 252,19,17-504-967-6335,1781.96,ELECTRONICS,Excellent customer service experience 252
253,Customer#000000253,Details for Customer 253,14,72-546-243-2668,1847.4,ELECTRONICS,Excellent customer service experience 253
254,Customer#000000254,Details for Customer 254,14,95-727-997-1690,1300.99,BUILDING,Excellent customer service experience 254
